source_id,provider_name,services_covered,pricing_page_url,price_type_to_capture,promo_details_needed,standard_price_needed,login_required,captcha_or_antibot,data_extraction_difficulty,update_frequency,last_verified_date,notes_or_edge_cases,adapter_built,api_available,affiliate_program,priority,needs_manual_override,last_price_change_detected,confidence_level
netflix_signup,Netflix,Netflix,https://www.netflix.com/signup,"Base monthly plans (Standard, Premium)",No,Yes,No,No,Low,Monthly,,Multiple tiers vary by region,No,No,Yes,1,,,
hulu_start,Hulu,Hulu,https://www.hulu.com/start,Hulu base + Hulu bundle pricing,Yes,Yes,No,No,Low,Monthly,,Bundles with Disney+ and ESPN+,No,No,Yes,1,,,
disneyplus_pricing,Disney+,Disney+,https://www.disneyplus.com/,Base + bundle pricing,Yes,Yes,No,No,Low,Monthly,,Often bundled with Hulu,No,No,Yes,1,,,
peacock_pricing,Peacock,Peacock,https://www.peacocktv.com/,Premium monthly price + promos,Yes,Yes,No,No,Low,Monthly,,Included with Instacart+ in some cases,No,No,Yes,1,,,
max_pricing,Max (HBO),Max,https://www.max.com/,Base + ad-free tiers,Yes,Yes,No,No,Low,Monthly,,Frequent promo pricing,No,No,Yes,1,,,
paramountplus_pricing,Paramount+,Paramount+,https://www.paramountplus.com/,Base + Showtime bundle,Yes,Yes,No,No,Low,Monthly,,Often discounted via partners,No,No,Yes,2,,,
appletv_pricing,Apple TV+,Apple TV+,https://tv.apple.com/,Monthly price,No,Yes,No,No,Low,Monthly,,Often bundled via Apple One,No,No,Yes,2,,,
amazon_prime_video,Amazon Prime Video,Prime Video,https://www.amazon.com/amazonprime,Included with Prime membership,Yes,Yes,Yes,Yes,Medium,Monthly,,Price tied to Prime membership,No,Yes,Yes,1,,,
walmart_plus,Walmart+,"Multiple (Paramount+, etc.)",https://www.walmart.com/plus,Membership price + included services,Yes,Yes,Yes,Yes,Medium,Monthly,,Includes streaming perks,No,No,Yes,1,,,
instacart_plus,Instacart+,Peacock (included),https://www.instacart.com/plus,Membership price + included Peacock,Yes,Yes,Yes,Yes,Medium,Monthly,,Peacock included benefit,No,No,Yes,1,,,
verizon_unlimited_bundles,Verizon,Disney+/Hulu/ESPN bundle,https://www.verizon.com/plans/unlimited/,Bundle pricing + promo terms,Yes,Yes,Yes,Yes,High,Monthly,,Carrier-gated pricing,No,No,Yes,1,,,
tmobile_offers,T-Mobile,Netflix + Apple TV+,https://www.t-mobile.com/offers,T-Mobile perks pricing,Yes,Yes,Yes,Yes,High,Monthly,,Plan-dependent benefits,No,No,Yes,1,,,
xfinity_offers,Xfinity,StreamSaver bundle,https://www.xfinity.com/learn/offers,Bundle pricing,Yes,Yes,Yes,Yes,High,Monthly,,Includes Netflix/Peacock/Apple TV+,No,No,Yes,1,,,
youtube_tv_pricing,YouTube TV,YouTube TV,https://tv.youtube.com/,Base + promo pricing,Yes,Yes,No,No,Low,Monthly,,Intro discounts common,No,No,Yes,2,,,
sling_pricing,Sling TV,Sling TV,https://www.sling.com/,Base + promo pricing,Yes,Yes,No,No,Low,Monthly,,Tiered packages,No,No,Yes,2,,,
fubo_pricing,Fubo,Fubo,https://www.fubo.tv/,Base + promo pricing,Yes,Yes,No,No,Low,Monthly,,Sports-heavy bundles,No,No,Yes,2,,,
philo_pricing,Philo,Philo,https://www.philo.com/,Base pricing,Yes,Yes,No,No,Low,Monthly,,Low-cost live TV,No,No,Yes,2,,,
